Player,Team,Opponent,Week,Receptions,Receiving_Yards,Yards_Per_Reception,Receiving_TDs,Longest_Reception,Fumbles,Fumbles_Lost
Michael Trigg,Baylor,Auburn,1,7,99,14.1,1,20,0,0
Kole Wilson,Baylor,Auburn,1,8,134,16.8,0,57,0,0
Bryson Washington,Baylor,Auburn,1,2,2,1.0,0,3,0,0
Ashtyn Hawkins,Baylor,Auburn,1,4,70,17.5,0,36,0,0
Josh Cameron,Baylor,Auburn,1,2,54,27.0,0,27,0,0
Kobe Prentice,Baylor,Auburn,1,2,38,19.0,1,33,0,0
Louis Brown,Baylor,Auburn,1,1,18,18.0,0,18,0,0
Caden Knighten,Baylor,Auburn,1,1,4,4.0,1,4,0,0
