Player,Team,Opponent,Week,Rushing_Attempts,Rushing_Yards,Yards_Per_Carry,Rushing_TDs,Longest_Rush,Receptions,Receiving_Yards,Yards_Per_Reception,Receiving_TDs,Longest_Reception,All_Purpose_Yards,Fumbles,Fumbles_Lost
Ashtyn Hawkins,Baylor,Auburn,1,0,0,0.0,0,0,4,70,17.5,0,36,70,0,0
Josh Cameron,Baylor,Auburn,1,0,0,0.0,0,0,2,54,27.0,0,27,54,0,0
Bryson Washington,Baylor,Auburn,1,14,54,3.9,0,18,2,2,1.0,0,3,56,0,0
Caden Knighten,Baylor,Auburn,1,6,29,4.8,0,17,1,4,4.0,1,4,33,0,0
Kole Wilson,Baylor,Auburn,1,0,0,0.0,0,0,8,134,16.8,0,57,134,0,0
Michael Trigg,Baylor,Auburn,1,0,0,0.0,0,0,7,99,14.1,1,20,99,0,0
Kobe Prentice,Baylor,Auburn,1,0,0,0.0,0,0,2,38,19.0,1,33,38,0,0
Sawyer Robertson,Baylor,Auburn,1,4,-19,-4.8,0,0,0,0,0.0,0,0,-19,0,0
Louis Brown,Baylor,Auburn,1,0,0,0.0,0,0,1,18,18.0,0,18,18,0,0
