Player,Team,Opponent,Week,Passing_Attempts,Completions,Passing_Yards,Yards_Per_Attempt,Passing_TDs,Interceptions,INT_Rate_%,Sacks,Sack_Rate_%,True_Rushing_Yards,Yards_Lost_From_Sacks
Austin Novosad,Oregon,Montana State,1,2,1,40,20.00,0,0,0.00,0,0.00,0,0
Dante Moore,Oregon,Montana State,1,23,18,213,9.26,3,0,0.00,0,0.00,18,0
