Player,Team,Opponent,Week,Targets,Receptions,Catch_%,Target_Share_%,Receiving_Yards,Yards_Per_Reception,Yards_Per_Target,Receiving_TDs,Longest_Reception,Fumbles,Fumbles_Lost
Brandon Inniss,Ohio State,Texas,1,2,2,100.0,10.0,8,4.0,4.0,0,5,0,0
Carnell Tate,Ohio State,Texas,1,2,2,100.0,10.0,49,24.5,24.5,1,40,0,0
Bennett Christian,Ohio State,Texas,1,2,1,50.0,10.0,6,6.0,3.0,0,6,0,0
Jeremiah Smith,Ohio State,Texas,1,10,6,60.0,50.0,43,7.2,4.3,0,16,0,0
Max Klare,Ohio State,Texas,1,3,1,33.3,15.0,11,11.0,3.7,0,11,0,0
Cj Donaldson Jr,Ohio State,Texas,1,1,0,0.0,5.0,0,0.0,0.0,0,0,0,0
CJ Donaldson Jr,Ohio State,Texas,1,0,1,0.0,0.0,9,9.0,0.0,0,9,0,0
