Player,Team,Opponent,Week,Rushing_Attempts,Rushing_Yards,Yards_Per_Carry,Rushing_TDs,Longest_Rush,Receptions,Receiving_Yards,Yards_Per_Reception,Receiving_TDs,Longest_Reception,All_Purpose_Yards,Fumbles,Fumbles_Lost
Brandon Inniss,Ohio State,Texas,1,0,0,0.0,0,0,2,8,4.0,0,5,8,0,0
Julian Sayin,Ohio State,Texas,1,2,2,1.0,0,1,0,0,0.0,0,0,2,0,0
CJ Donaldson Jr,Ohio State,Texas,1,19,67,3.5,1,8,1,9,9.0,0,9,76,0,0
Jeremiah Smith,Ohio State,Texas,1,0,0,0.0,0,0,6,43,7.2,0,16,43,0,0
Max Klare,Ohio State,Texas,1,0,0,0.0,0,0,1,11,11.0,0,11,11,0,0
Bennett Christian,Ohio State,Texas,1,0,0,0.0,0,0,1,6,6.0,0,6,6,0,0
James Peoples,Ohio State,Texas,1,10,20,2.0,0,6,0,0,0.0,0,0,20,0,0
Carnell Tate,Ohio State,Texas,1,0,0,0.0,0,0,2,49,24.5,1,40,49,0,0
