Player,Team,Opponent,Week,Targets,Receptions,Catch_%,Target_Share_%,Receiving_Yards,Yards_Per_Reception,Yards_Per_Target,Receiving_TDs,Longest_Reception,Fumbles,Fumbles_Lost
Jaylin Lucas,Florida State,Alabama,1,2,2,100.0,18.2,66,33.0,33.0,0,64,1,1
Randy Pittman,Florida State,Alabama,1,0,2,0.0,0.0,18,9.0,0.0,0,14,0,0
Ousmane Kromah,Florida State,Alabama,1,1,1,100.0,9.1,7,7.0,7.0,0,7,0,0
Duce Robinson,Florida State,Alabama,1,4,2,50.0,36.4,18,9.0,4.5,0,15,0,0
Gavin Sawchuk,Florida State,Alabama,1,1,1,100.0,9.1,3,3.0,3.0,0,3,0,0
Squirrel White,Florida State,Alabama,1,1,1,100.0,9.1,40,40.0,40.0,0,40,0,0
Randy Pittman Jr.,Florida State,Alabama,1,2,0,0.0,18.2,0,0.0,0.0,0,0,0,0
