Player,Team,Opponent,Week,Rushing_Attempts,Rushing_Yards,Yards_Per_Carry,Rushing_TDs,Longest_Rush,Receptions,Receiving_Yards,Yards_Per_Reception,Receiving_TDs,Longest_Reception,All_Purpose_Yards,Fumbles,Fumbles_Lost
Dominic Overby,Iowa State,Kansas State,0,0,0,0.0,0,0,2,29,14.5,1,23,29,0,0
Eli Green,Iowa State,Kansas State,0,0,0,0.0,0,0,2,17,8.5,0,10,17,0,0
Carson Hansen,Iowa State,Kansas State,0,16,71,4.4,0,15,2,19,9.5,0,15,90,0,0
Benjamin Brahmer,Iowa State,Kansas State,0,0,0,0.0,0,0,2,41,20.5,0,21,41,0,0
 Team,Iowa State,Kansas State,0,4,-2,-0.5,0,0,0,0,0.0,0,0,-2,0,0
Brett Eskildsen,Iowa State,Kansas State,0,0,0,0.0,0,0,3,46,15.3,1,24,46,0,0
Abu Sama III,Iowa State,Kansas State,0,14,43,3.1,0,14,0,0,0.0,0,0,43,1,1
Rocco Becht,Iowa State,Kansas State,0,12,18,1.5,1,9,0,0,0.0,0,0,18,1,1
Gabe Burkle,Iowa State,Kansas State,0,0,0,0.0,0,0,3,31,10.3,0,17,31,0,0
