Player,Team,Opponent,Week,Receptions,Receiving_Yards,Yards_Per_Reception,Receiving_TDs,Longest_Reception,Fumbles,Fumbles_Lost
Brett Eskildsen,Iowa State,Kansas State,0,3,46,15.3,1,24,0,0
Benjamin Brahmer,Iowa State,Kansas State,0,2,41,20.5,0,21,0,0
Carson Hansen,Iowa State,Kansas State,0,2,19,9.5,0,15,0,0
Gabe Burkle,Iowa State,Kansas State,0,3,31,10.3,0,17,0,0
Dominic Overby,Iowa State,Kansas State,0,2,29,14.5,1,23,0,0
Eli Green,Iowa State,Kansas State,0,2,17,8.5,0,10,0,0
