Player,Team,Opponent,Week,Passing_Attempts,Completions,Passing_Yards,Yards_Per_Attempt,Passing_TDs,Interceptions,INT_Rate_%,Sacks,Sack_Rate_%,True_Rushing_Yards,Yards_Lost_From_Sacks
Gunner Stockton,Georgia,Marshall,1,24,14,190,7.92,2,0,0.00,0,0.00,73,0
Ryan Puglisi,Georgia,Marshall,1,8,5,59,7.38,1,0,0.00,0,0.00,13,0
