Player,Team,Opponent,Week,Rushing_Attempts,Rushing_Yards,Yards_Per_Carry,Rushing_TDs,Longest_Rush,Receptions,Receiving_Yards,Yards_Per_Reception,Receiving_TDs,Longest_Reception,All_Purpose_Yards,Fumbles,Fumbles_Lost
Jordyn Tyson,Arizona State,Northern Arizona,1,0,0,0.0,0,0,12,141,11.8,2,22,141,1,0
Raleek Brown,Arizona State,Northern Arizona,1,5,38,7.6,1,19,3,13,4.3,0,11,51,0,0
Sam Leavitt,Arizona State,Northern Arizona,1,7,73,10.4,2,52,0,0,0.0,0,0,73,0,0
Kyson Brown,Arizona State,Northern Arizona,1,7,73,10.4,0,34,6,72,12.0,0,22,145,0,0
Kanye Udoh,Arizona State,Northern Arizona,1,2,19,9.5,0,19,1,6,6.0,0,6,25,0,0
Malik McClain,Arizona State,Northern Arizona,1,0,0,0.0,0,0,2,5,2.5,0,7,5,0,0
Chamon Metayer,Arizona State,Northern Arizona,1,0,0,0.0,0,0,1,20,20.0,0,20,20,0,0
