Player,Team,Opponent,Week,Targets,Receptions,Catch_%,Target_Share_%,Receiving_Yards,Yards_Per_Reception,Yards_Per_Target,Receiving_TDs,Longest_Reception,Fumbles,Fumbles_Lost
Raleek Brown,Arizona State,Northern Arizona,1,6,3,50.0,15.8,13,4.3,2.2,0,11,0,0
Chamon Metayer,Arizona State,Northern Arizona,1,2,1,50.0,5.3,20,20.0,10.0,0,20,0,0
Cameron Harpole,Arizona State,Northern Arizona,1,1,0,0.0,2.6,0,0.0,0.0,0,0,0,0
Malik McClain,Arizona State,Northern Arizona,1,4,2,50.0,10.5,5,2.5,1.2,0,7,0,0
Derek Eusebio,Arizona State,Northern Arizona,1,1,0,0.0,2.6,0,0.0,0.0,0,0,0,0
Jalen Moss,Arizona State,Northern Arizona,1,2,0,0.0,5.3,0,0.0,0.0,0,0,0,0
Jordyn Tyson,Arizona State,Northern Arizona,1,16,12,75.0,42.1,141,11.8,8.8,2,22,1,0
Kyson Brown,Arizona State,Northern Arizona,1,5,6,120.0,13.2,72,12.0,14.4,0,22,0,0
Kanye Udoh,Arizona State,Northern Arizona,1,1,1,100.0,2.6,6,6.0,6.0,0,6,0,0
