Player,Team,Opponent,Week,Passing_Attempts,Completions,Passing_Yards,Yards_Per_Attempt,Passing_TDs,Interceptions,INT_Rate_%,Sacks,Sack_Rate_%,True_Rushing_Yards,Yards_Lost_From_Sacks
Alex Orji,Michigan,Alabama,1,3,2,2,0.67,0,1,33.33,0,0.00,9,0
Davis Warren,Michigan,Alabama,1,12,9,73,6.08,1,0,0.00,2,16.67,-4,10
