Player,Team,Opponent,Week,Targets,Receptions,Catch_%,Target_Share_%,Receiving_Yards,Yards_Per_Reception,Yards_Per_Target,Receiving_TDs,Longest_Reception,Fumbles,Fumbles_Lost
Eric Singleton Jr.,Auburn,Baylor,1,0,3,0.0,0.0,20,6.7,0.0,0,9,0,0
Cam Coleman,Auburn,Baylor,1,4,1,25.0,25.0,23,23.0,5.8,0,23,0,0
Horatio Fields,Auburn,Baylor,1,2,2,100.0,12.5,17,8.5,8.5,0,9,0,0
Preston Howard,Auburn,Baylor,1,1,1,100.0,6.2,7,7.0,7.0,0,7,0,0
Brandon Frazier,Auburn,Baylor,1,2,2,100.0,12.5,15,7.5,7.5,0,9,0,0
Jeremiah Cobb,Auburn,Baylor,1,1,1,100.0,6.2,0,0.0,0.0,0,0,0,0
Jr. Eric Singleton,Auburn,Baylor,1,4,0,0.0,25.0,0,0.0,0.0,0,0,0,0
Malcolm Simmons,Auburn,Baylor,1,2,1,50.0,12.5,26,26.0,13.0,0,26,0,0
